time angle x y
14.446	-0.796	0.207	-0.202
14.479	-0.778	0.203	-0.206
14.512	-0.734	0.194	-0.215
14.546	-0.662	0.178	-0.228
14.579	-0.565	0.154	-0.243
14.612	-0.447	0.124	-0.260
14.646	-0.310	0.088	-0.274
14.679	-0.160	0.046	-0.283
14.712	-0.003	0.001	-0.286
14.746	0.153	-0.044	-0.283
14.779	0.302	-0.085	-0.274
14.812	0.440	-0.122	-0.260
14.846	0.560	-0.153	-0.244
14.879	0.658	-0.176	-0.228
14.913	0.733	-0.193	-0.215
14.946	0.780	-0.203	-0.205
14.979	0.801	-0.207	-0.201
15.013	0.797	-0.206	-0.201
15.046	0.762	-0.198	-0.208
15.079	0.698	-0.184	-0.220
15.113	0.612	-0.164	-0.234
15.146	0.502	-0.137	-0.250
15.179	0.377	-0.105	-0.265
15.206	0.249	-0.070	-0.275
15.239	0.102	-0.029	-0.282
15.273	-0.049	0.014	-0.284
15.306	-0.196	0.055	-0.279
15.339	-0.337	0.095	-0.270
15.373	-0.465	0.129	-0.257
15.406	-0.575	0.157	-0.243
15.439	-0.666	0.179	-0.228
15.473	-0.733	0.195	-0.217
15.506	-0.772	0.203	-0.209
15.539	-0.784	0.206	-0.206
15.573	-0.768	0.203	-0.210
15.606	-0.724	0.193	-0.218
15.640	-0.653	0.176	-0.231
15.673	-0.556	0.153	-0.246
15.706	-0.439	0.122	-0.261
15.739	-0.306	0.087	-0.274
15.772	-0.160	0.046	-0.282
15.805	-0.008	0.002	-0.286
15.839	0.143	-0.041	-0.282
15.872	0.287	-0.081	-0.274
15.905	0.422	-0.117	-0.261
15.939	0.540	-0.147	-0.245
15.972	0.638	-0.171	-0.230
16.006	0.711	-0.187	-0.217
16.039	0.759	-0.197	-0.208
16.072	0.781	-0.202	-0.204
16.106	0.777	-0.201	-0.204
16.139	0.743	-0.193	-0.211
16.172	0.681	-0.180	-0.222
16.206	0.594	-0.159	-0.236
16.239	0.487	-0.133	-0.251
16.272	0.365	-0.101	-0.265
16.306	0.229	-0.064	-0.276
16.339	0.086	-0.024	-0.283
16.372	-0.060	0.017	-0.284
16.406	-0.203	0.058	-0.280
16.439	-0.339	0.096	-0.271
16.472	-0.463	0.129	-0.258
16.506	-0.569	0.156	-0.244
16.539	-0.656	0.178	-0.231
16.572	-0.716	0.192	-0.220
16.606	-0.752	0.200	-0.213
16.639	-0.757	0.200	-0.212
16.672	-0.738	0.196	-0.215
16.706	-0.695	0.186	-0.223
16.739	-0.624	0.170	-0.236
16.772	-0.529	0.146	-0.250
16.806	-0.412	0.115	-0.264
16.839	-0.279	0.079	-0.276
16.872	-0.137	0.039	-0.284
16.906	0.010	-0.003	-0.286
16.939	0.157	-0.045	-0.282
16.973	0.297	-0.083	-0.273
17.006	0.427	-0.118	-0.260
17.039	0.541	-0.147	-0.245
17.073	0.634	-0.169	-0.230
17.106	0.703	-0.185	-0.218
17.139	0.747	-0.194	-0.210
17.173	0.762	-0.197	-0.206
17.206	0.754	-0.195	-0.208
17.239	0.717	-0.187	-0.214
17.273	0.654	-0.173	-0.226
17.306	0.567	-0.152	-0.239
17.339	0.460	-0.126	-0.254
17.373	0.338	-0.094	-0.267
17.406	0.205	-0.058	-0.277
17.439	0.065	-0.018	-0.283
17.473	-0.078	0.022	-0.284
17.506	-0.217	0.062	-0.279
17.539	-0.350	0.099	-0.270
17.573	-0.468	0.131	-0.258
17.606	-0.571	0.157	-0.245
17.639	-0.653	0.178	-0.232
17.673	-0.710	0.191	-0.222
17.706	-0.736	0.195	-0.216
17.739	-0.739	0.196	-0.215
17.773	-0.717	0.191	-0.219
17.806	-0.670	0.180	-0.228
17.840	-0.597	0.163	-0.240
17.873	-0.501	0.139	-0.254
17.906	-0.383	0.108	-0.268
17.940	-0.251	0.071	-0.278
17.973	-0.109	0.031	-0.285
18.006	0.036	-0.010	-0.285
18.040	0.179	-0.051	-0.280
18.073	0.315	-0.088	-0.270
18.106	0.439	-0.121	-0.257
18.140	0.546	-0.147	-0.243
18.173	0.633	-0.168	-0.229
18.206	0.698	-0.182	-0.217
18.240	0.735	-0.190	-0.210
18.273	0.749	-0.193	-0.208
18.306	0.738	-0.190	-0.209
18.340	0.695	-0.181	-0.217
18.373	0.626	-0.166	-0.229
18.406	0.535	-0.144	-0.243
18.440	0.427	-0.117	-0.257
18.473	0.305	-0.085	-0.270
18.506	0.172	-0.049	-0.279
18.540	0.033	-0.009	-0.284
18.573	-0.108	0.031	-0.284
18.606	-0.243	0.069	-0.279
18.640	-0.371	0.105	-0.270
18.673	-0.484	0.136	-0.258
18.706	-0.579	0.160	-0.245
18.740	-0.653	0.179	-0.233
18.774	-0.705	0.191	-0.224
18.807	-0.727	0.195	-0.220
18.841	-0.725	0.195	-0.220
18.874	-0.699	0.189	-0.225
18.907	-0.645	0.176	-0.234
18.941	-0.566	0.156	-0.246
18.974	-0.466	0.130	-0.259
19.007	-0.348	0.098	-0.271
19.041	-0.216	0.062	-0.280
19.074	-0.077	0.022	-0.285
19.107	0.065	-0.018	-0.284
19.141	0.204	-0.058	-0.278
19.174	0.335	-0.093	-0.268
19.207	0.451	-0.123	-0.255
19.241	0.552	-0.148	-0.241
19.274	0.634	-0.167	-0.228
19.308	0.691	-0.180	-0.218
19.341	0.724	-0.187	-0.212
19.374	0.732	-0.189	-0.210
19.408	0.711	-0.184	-0.214
19.441	0.662	-0.174	-0.223
19.474	0.591	-0.157	-0.234
19.508	0.498	-0.135	-0.248
19.541	0.390	-0.107	-0.261
19.574	0.267	-0.075	-0.273
19.608	0.136	-0.039	-0.281
19.641	-0.001	0.000	-0.285
19.674	-0.137	0.039	-0.284
19.708	-0.269	0.077	-0.278
19.741	-0.389	0.110	-0.268
19.774	-0.496	0.139	-0.257
19.808	-0.584	0.162	-0.244
19.841	-0.653	0.179	-0.234
19.874	-0.696	0.189	-0.226
19.908	-0.712	0.192	-0.223
19.941	-0.704	0.190	-0.224
19.974	-0.672	0.183	-0.230
20.008	-0.614	0.169	-0.240
20.041	-0.532	0.148	-0.252
20.074	-0.428	0.121	-0.264
20.108	-0.310	0.088	-0.275
20.141	-0.180	0.051	-0.283
20.174	-0.042	0.012	-0.286
20.208	0.097	-0.027	-0.284
20.241	0.231	-0.065	-0.276
20.275	0.357	-0.099	-0.265
20.308	0.469	-0.128	-0.252
20.341	0.563	-0.151	-0.239
20.375	0.637	-0.168	-0.227
20.408	0.688	-0.179	-0.218
20.441	0.712	-0.185	-0.214
20.475	0.711	-0.184	-0.214
20.508	0.683	-0.178	-0.219
20.541	0.632	-0.167	-0.228
20.575	0.558	-0.150	-0.240
20.609	0.462	-0.126	-0.253
20.642	0.352	-0.098	-0.266
20.676	0.228	-0.064	-0.276
20.709	0.097	-0.028	-0.283
20.742	-0.037	0.010	-0.286
20.776	-0.170	0.049	-0.283
20.809	-0.296	0.084	-0.277
20.842	-0.412	0.116	-0.267
20.876	-0.513	0.143	-0.255
20.909	-0.594	0.164	-0.243
20.942	-0.652	0.179	-0.234
20.976	-0.683	0.184	-0.227
21.009	-0.692	0.186	-0.225
21.042	-0.677	0.183	-0.227
21.076	-0.638	0.174	-0.234
21.109	-0.574	0.158	-0.244
21.142	-0.489	0.136	-0.256
21.176	-0.383	0.108	-0.268
21.209	-0.263	0.075	-0.278
21.243	-0.133	0.038	-0.284
21.276	0.004	-0.001	-0.285
21.309	0.140	-0.040	-0.281
21.343	0.270	-0.076	-0.273
21.376	0.390	-0.107	-0.262
21.409	0.495	-0.134	-0.249
21.443	0.579	-0.155	-0.236
21.476	0.645	-0.170	-0.225
21.509	0.685	-0.178	-0.219
21.543	0.701	-0.182	-0.216
21.576	0.696	-0.181	-0.217
21.609	0.661	-0.173	-0.223
21.643	0.602	-0.160	-0.233
21.676	0.523	-0.141	-0.245
21.709	0.423	-0.116	-0.258
21.743	0.309	-0.086	-0.270
21.776	0.185	-0.052	-0.279
21.809	0.055	-0.016	-0.285
21.843	-0.077	0.022	-0.286
21.876	-0.206	0.059	-0.282
21.909	-0.327	0.093	-0.274
21.943	-0.436	0.123	-0.264
21.976	-0.529	0.148	-0.253
22.009	-0.601	0.166	-0.242
22.043	-0.649	0.177	-0.233
22.076	-0.676	0.183	-0.229
22.109	-0.677	0.184	-0.228
22.143	-0.656	0.179	-0.232
22.176	-0.611	0.168	-0.240
22.210	-0.539	0.150	-0.250
22.243	-0.447	0.125	-0.262
22.276	-0.338	0.096	-0.272
22.310	-0.216	0.061	-0.281
22.343	-0.085	0.024	-0.285
22.376	0.048	-0.014	-0.284
22.410	0.179	-0.051	-0.279
22.443	0.303	-0.085	-0.270
22.476	0.416	-0.114	-0.259
22.510	0.515	-0.139	-0.246
22.543	0.592	-0.158	-0.235
22.576	0.647	-0.171	-0.226
22.610	0.678	-0.177	-0.220
22.643	0.686	-0.179	-0.219
22.676	0.669	-0.175	-0.222
22.710	0.626	-0.166	-0.230
22.743	0.562	-0.151	-0.240
22.776	0.476	-0.130	-0.252
22.810	0.373	-0.104	-0.264
22.843	0.257	-0.072	-0.275
22.876	0.133	-0.038	-0.283
22.910	0.005	-0.001	-0.287
22.943	-0.124	0.036	-0.286
22.976	-0.247	0.071	-0.280
23.010	-0.362	0.103	-0.272
23.043	-0.464	0.131	-0.261
23.077	-0.549	0.153	-0.250
23.110	-0.613	0.169	-0.241
23.143	-0.655	0.179	-0.233
23.177	-0.673	0.184	-0.230
23.210	-0.666	0.182	-0.231
23.243	-0.635	0.174	-0.236
23.277	-0.579	0.160	-0.245
23.310	-0.500	0.140	-0.255
23.343	-0.403	0.113	-0.266
23.377	-0.290	0.082	-0.276
23.410	-0.166	0.047	-0.283
23.443	-0.037	0.010	-0.285
23.477	0.093	-0.027	-0.283
23.510	0.222	-0.062	-0.277
23.543	0.340	-0.095	-0.267
23.577	0.446	-0.122	-0.256
23.609	0.533	-0.144	-0.244
23.642	0.602	-0.161	-0.234
23.676	0.649	-0.171	-0.226
23.709	0.672	-0.177	-0.222
23.742	0.670	-0.176	-0.223
23.776	0.643	-0.170	-0.227
23.809	0.592	-0.159	-0.236
23.842	0.522	-0.142	-0.246
23.876	0.431	-0.119	-0.258
23.909	0.325	-0.091	-0.270
23.943	0.208	-0.059	-0.279
23.976	0.085	-0.024	-0.285
24.009	-0.041	0.012	-0.287
24.043	-0.166	0.048	-0.284
24.076	-0.285	0.081	-0.278
24.109	-0.393	0.111	-0.268
24.143	-0.486	0.136	-0.258
24.176	-0.562	0.156	-0.248
24.209	-0.617	0.170	-0.239
24.243	-0.650	0.178	-0.234
24.276	-0.659	0.179	-0.232
24.309	-0.642	0.175	-0.235
24.343	-0.602	0.166	-0.241
24.376	-0.539	0.149	-0.250
24.409	-0.455	0.127	-0.260
24.443	-0.353	0.100	-0.270
24.476	-0.238	0.068	-0.279
24.509	-0.114	0.032	-0.284
24.543	0.015	-0.004	-0.285
24.576	0.142	-0.040	-0.281
24.609	0.264	-0.074	-0.274
24.643	0.375	-0.104	-0.264
24.676	0.474	-0.129	-0.253
24.709	0.554	-0.149	-0.242
24.743	0.611	-0.163	-0.233
24.776	0.647	-0.172	-0.227
24.810	0.659	-0.174	-0.225
24.843	0.647	-0.172	-0.227
24.876	0.610	-0.163	-0.233
24.910	0.553	-0.150	-0.242
24.943	0.473	-0.130	-0.253
24.976	0.378	-0.105	-0.265
25.010	0.269	-0.076	-0.275
25.043	0.151	-0.043	-0.282
25.076	0.028	-0.008	-0.286
25.110	-0.097	0.028	-0.286
25.143	-0.217	0.062	-0.282
25.176	-0.330	0.094	-0.274
25.210	-0.431	0.121	-0.264
25.243	-0.515	0.144	-0.254
25.276	-0.582	0.161	-0.245
25.310	-0.625	0.171	-0.237
25.343	-0.647	0.177	-0.233
25.376	-0.646	0.176	-0.234
25.410	-0.621	0.170	-0.238
25.443	-0.570	0.157	-0.245
25.476	-0.499	0.139	-0.254
25.510	-0.409	0.115	-0.265
25.543	-0.302	0.085	-0.274
25.576	-0.184	0.052	-0.281
25.610	-0.059	0.017	-0.284
25.643	0.067	-0.019	-0.283
25.676	0.191	-0.054	-0.278
25.710	0.306	-0.085	-0.270
25.743	0.411	-0.113	-0.260
25.777	0.499	-0.136	-0.249
25.810	0.567	-0.153	-0.240
25.843	0.615	-0.164	-0.232
